municipio,cve_mun,estado,anio,feminicidios,municipio_texto,mun_id_nombre
Ahuatlã¡N,21007,Puebla,2019,0,Ahuatlã¡N,21007 – Ahuatlã¡N
Ahuatlã¡N,21007,Puebla,2020,0,Ahuatlã¡N,21007 – Ahuatlã¡N
Ahuatlã¡N,21007,Puebla,2021,0,Ahuatlã¡N,21007 – Ahuatlã¡N
Ahuatlã¡N,21007,Puebla,2022,0,Ahuatlã¡N,21007 – Ahuatlã¡N
Ahuatlã¡N,21007,Puebla,2023,0,Ahuatlã¡N,21007 – Ahuatlã¡N
Ahuatlã¡N,21007,Puebla,2024,0,Ahuatlã¡N,21007 – Ahuatlã¡N
Ahuatlã¡N,21007,Puebla,2025,0,Ahuatlã¡N,21007 – Ahuatlã¡N
Ahuazotepec,21008,Puebla,2015,0,Ahuazotepec,21008 – Ahuazotepec
Ahuazotepec,21008,Puebla,2016,0,Ahuazotepec,21008 – Ahuazotepec
Ahuazotepec,21008,Puebla,2017,0,Ahuazotepec,21008 – Ahuazotepec
Ahuazotepec,21008,Puebla,2018,0,Ahuazotepec,21008 – Ahuazotepec
Ahuazotepec,21008,Puebla,2019,0,Ahuazotepec,21008 – Ahuazotepec
Ahuazotepec,21008,Puebla,2020,1,Ahuazotepec,21008 – Ahuazotepec
Ahuazotepec,21008,Puebla,2021,0,Ahuazotepec,21008 – Ahuazotepec
Ahuazotepec,21008,Puebla,2022,0,Ahuazotepec,21008 – Ahuazotepec
Ahuazotepec,21008,Puebla,2023,0,Ahuazotepec,21008 – Ahuazotepec
Ahuazotepec,21008,Puebla,2024,0,Ahuazotepec,21008 – Ahuazotepec
Ahuazotepec,21008,Puebla,2025,0,Ahuazotepec,21008 – Ahuazotepec
Ahuehuetitla,21009,Puebla,2015,0,Ahuehuetitla,21009 – Ahuehuetitla
Ahuehuetitla,21009,Puebla,2016,0,Ahuehuetitla,21009 – Ahuehuetitla
Ahuehuetitla,21009,Puebla,2017,0,Ahuehuetitla,21009 – Ahuehuetitla
Ahuehuetitla,21009,Puebla,2018,0,Ahuehuetitla,21009 – Ahuehuetitla
Ahuehuetitla,21009,Puebla,2019,0,Ahuehuetitla,21009 – Ahuehuetitla
Ahuehuetitla,21009,Puebla,2020,0,Ahuehuetitla,21009 – Ahuehuetitla
Ahuehuetitla,21009,Puebla,2021,0,Ahuehuetitla,21009 – Ahuehuetitla
Ahuehuetitla,21009,Puebla,2022,0,Ahuehuetitla,21009 – Ahuehuetitla
Ahuehuetitla,21009,Puebla,2023,0,Ahuehuetitla,21009 – Ahuehuetitla
Ahuehuetitla,21009,Puebla,2024,0,Ahuehuetitla,21009 – Ahuehuetitla
Ahuehuetitla,21009,Puebla,2025,0,Ahuehuetitla,21009 – Ahuehuetitla
Ajalpan,21010,Puebla,2015,0,Ajalpan,21010 – Ajalpan
Ajalpan,21010,Puebla,2016,0,Ajalpan,21010 – Ajalpan
Ajalpan,21010,Puebla,2017,0,Ajalpan,21010 – Ajalpan
Ajalpan,21010,Puebla,2018,0,Ajalpan,21010 – Ajalpan
Ajalpan,21010,Puebla,2019,0,Ajalpan,21010 – Ajalpan
Ajalpan,21010,Puebla,2020,0,Ajalpan,21010 – Ajalpan
Ajalpan,21010,Puebla,2021,0,Ajalpan,21010 – Ajalpan
Ajalpan,21010,Puebla,2022,0,Ajalpan,21010 – Ajalpan
Ajalpan,21010,Puebla,2023,0,Ajalpan,21010 – Ajalpan
Ajalpan,21010,Puebla,2024,0,Ajalpan,21010 – Ajalpan
Ajalpan,21010,Puebla,2025,0,Ajalpan,21010 – Ajalpan
Albino Zertuche,21011,Puebla,2015,0,Albino Zertuche,21011 – Albino Zertuche
Albino Zertuche,21011,Puebla,2016,0,Albino Zertuche,21011 – Albino Zertuche
Albino Zertuche,21011,Puebla,2017,0,Albino Zertuche,21011 – Albino Zertuche
Albino Zertuche,21011,Puebla,2018,0,Albino Zertuche,21011 – Albino Zertuche
Albino Zertuche,21011,Puebla,2019,0,Albino Zertuche,21011 – Albino Zertuche
Albino Zertuche,21011,Puebla,2020,0,Albino Zertuche,21011 – Albino Zertuche
Albino Zertuche,21011,Puebla,2021,0,Albino Zertuche,21011 – Albino Zertuche
Albino Zertuche,21011,Puebla,2022,0,Albino Zertuche,21011 – Albino Zertuche
Albino Zertuche,21011,Puebla,2023,0,Albino Zertuche,21011 – Albino Zertuche
Albino Zertuche,21011,Puebla,2024,0,Albino Zertuche,21011 – Albino Zertuche
Albino Zertuche,21011,Puebla,2025,0,Albino Zertuche,21011 – Albino Zertuche
Aljojuca,21012,Puebla,2015,0,Aljojuca,21012 – Aljojuca
Aljojuca,21012,Puebla,2016,0,Aljojuca,21012 – Aljojuca
Aljojuca,21012,Puebla,2017,0,Aljojuca,21012 – Aljojuca
Aljojuca,21012,Puebla,2018,0,Aljojuca,21012 – Aljojuca
Aljojuca,21012,Puebla,2019,0,Aljojuca,21012 – Aljojuca
Aljojuca,21012,Puebla,2020,0,Aljojuca,21012 – Aljojuca
Aljojuca,21012,Puebla,2021,0,Aljojuca,21012 – Aljojuca
Aljojuca,21012,Puebla,2022,0,Aljojuca,21012 – Aljojuca
Aljojuca,21012,Puebla,2023,0,Aljojuca,21012 – Aljojuca
Aljojuca,21012,Puebla,2024,0,Aljojuca,21012 – Aljojuca
Aljojuca,21012,Puebla,2025,0,Aljojuca,21012 – Aljojuca
Altepexi,21013,Puebla,2015,0,Altepexi,21013 – Altepexi
Altepexi,21013,Puebla,2016,0,Altepexi,21013 – Altepexi
Altepexi,21013,Puebla,2017,0,Altepexi,21013 – Altepexi
Altepexi,21013,Puebla,2018,1,Altepexi,21013 – Altepexi
Altepexi,21013,Puebla,2019,0,Altepexi,21013 – Altepexi
Altepexi,21013,Puebla,2020,0,Altepexi,21013 – Altepexi
Altepexi,21013,Puebla,2021,0,Altepexi,21013 – Altepexi
Altepexi,21013,Puebla,2022,0,Altepexi,21013 – Altepexi
Altepexi,21013,Puebla,2023,0,Altepexi,21013 – Altepexi
Altepexi,21013,Puebla,2024,0,Altepexi,21013 – Altepexi
Altepexi,21013,Puebla,2025,0,Altepexi,21013 – Altepexi
Amixtlã¡N,21014,Puebla,2015,0,Amixtlã¡N,21014 – Amixtlã¡N
Amixtlã¡N,21014,Puebla,2016,0,Amixtlã¡N,21014 – Amixtlã¡N
Amixtlã¡N,21014,Puebla,2017,0,Amixtlã¡N,21014 – Amixtlã¡N
Amixtlã¡N,21014,Puebla,2018,0,Amixtlã¡N,21014 – Amixtlã¡N
Amixtlã¡N,21014,Puebla,2019,0,Amixtlã¡N,21014 – Amixtlã¡N
Amixtlã¡N,21014,Puebla,2020,0,Amixtlã¡N,21014 – Amixtlã¡N
Amixtlã¡N,21014,Puebla,2021,0,Amixtlã¡N,21014 – Amixtlã¡N
Amixtlã¡N,21014,Puebla,2022,0,Amixtlã¡N,21014 – Amixtlã¡N
Amixtlã¡N,21014,Puebla,2023,1,Amixtlã¡N,21014 – Amixtlã¡N
Amixtlã¡N,21014,Puebla,2024,0,Amixtlã¡N,21014 – Amixtlã¡N
Amixtlã¡N,21014,Puebla,2025,0,Amixtlã¡N,21014 – Amixtlã¡N
Amozoc,21015,Puebla,2015,0,Amozoc,21015 – Amozoc
Amozoc,21015,Puebla,2016,0,Amozoc,21015 – Amozoc
Amozoc,21015,Puebla,2017,1,Amozoc,21015 – Amozoc
Amozoc,21015,Puebla,2018,1,Amozoc,21015 – Amozoc
Amozoc,21015,Puebla,2019,1,Amozoc,21015 – Amozoc
Amozoc,21015,Puebla,2020,0,Amozoc,21015 – Amozoc
Amozoc,21015,Puebla,2021,1,Amozoc,21015 – Amozoc
Amozoc,21015,Puebla,2022,0,Amozoc,21015 – Amozoc
Amozoc,21015,Puebla,2023,0,Amozoc,21015 – Amozoc
Amozoc,21015,Puebla,2024,0,Amozoc,21015 – Amozoc
Amozoc,21015,Puebla,2025,0,Amozoc,21015 – Amozoc
Aquixtla,21016,Puebla,2015,0,Aquixtla,21016 – Aquixtla
Aquixtla,21016,Puebla,2016,0,Aquixtla,21016 – Aquixtla
Aquixtla,21016,Puebla,2017,0,Aquixtla,21016 – Aquixtla
Aquixtla,21016,Puebla,2018,0,Aquixtla,21016 – Aquixtla
Aquixtla,21016,Puebla,2019,0,Aquixtla,21016 – Aquixtla
Aquixtla,21016,Puebla,2020,0,Aquixtla,21016 – Aquixtla
Aquixtla,21016,Puebla,2021,0,Aquixtla,21016 – Aquixtla
Aquixtla,21016,Puebla,2022,0,Aquixtla,21016 – Aquixtla
Aquixtla,21016,Puebla,2023,0,Aquixtla,21016 – Aquixtla
Aquixtla,21016,Puebla,2024,0,Aquixtla,21016 – Aquixtla
Aquixtla,21016,Puebla,2025,0,Aquixtla,21016 – Aquixtla
Atempan,21017,Puebla,2015,0,Atempan,21017 – Atempan
Atempan,21017,Puebla,2016,0,Atempan,21017 – Atempan
Atempan,21017,Puebla,2017,0,Atempan,21017 – Atempan
Atempan,21017,Puebla,2018,0,Atempan,21017 – Atempan
Atempan,21017,Puebla,2019,0,Atempan,21017 – Atempan
Atempan,21017,Puebla,2020,1,Atempan,21017 – Atempan
Atempan,21017,Puebla,2021,0,Atempan,21017 – Atempan
Atempan,21017,Puebla,2022,0,Atempan,21017 – Atempan
Atempan,21017,Puebla,2023,0,Atempan,21017 – Atempan
Atempan,21017,Puebla,2024,0,Atempan,21017 – Atempan
Atempan,21017,Puebla,2025,0,Atempan,21017 – Atempan
Atexcal,21018,Puebla,2015,0,Atexcal,21018 – Atexcal
Atexcal,21018,Puebla,2016,0,Atexcal,21018 – Atexcal
Atexcal,21018,Puebla,2017,0,Atexcal,21018 – Atexcal
Atexcal,21018,Puebla,2018,0,Atexcal,21018 – Atexcal
Atexcal,21018,Puebla,2019,0,Atexcal,21018 – Atexcal
Atexcal,21018,Puebla,2020,0,Atexcal,21018 – Atexcal
Atexcal,21018,Puebla,2021,0,Atexcal,21018 – Atexcal
Atexcal,21018,Puebla,2022,0,Atexcal,21018 – Atexcal
Atexcal,21018,Puebla,2023,0,Atexcal,21018 – Atexcal
Atexcal,21018,Puebla,2024,0,Atexcal,21018 – Atexcal
Atexcal,21018,Puebla,2025,0,Atexcal,21018 – Atexcal
Atlixco,21019,Puebla,2015,1,Atlixco,21019 – Atlixco
Atlixco,21019,Puebla,2016,0,Atlixco,21019 – Atlixco
Atlixco,21019,Puebla,2017,2,Atlixco,21019 – Atlixco
Atlixco,21019,Puebla,2018,0,Atlixco,21019 – Atlixco
Atlixco,21019,Puebla,2019,1,Atlixco,21019 – Atlixco
Atlixco,21019,Puebla,2020,2,Atlixco,21019 – Atlixco
Atlixco,21019,Puebla,2021,2,Atlixco,21019 – Atlixco
Atlixco,21019,Puebla,2022,1,Atlixco,21019 – Atlixco
Atlixco,21019,Puebla,2023,0,Atlixco,21019 – Atlixco
Atlixco,21019,Puebla,2024,2,Atlixco,21019 – Atlixco
Atlixco,21019,Puebla,2025,1,Atlixco,21019 – Atlixco
Atoyatempan,21020,Puebla,2015,0,Atoyatempan,21020 – Atoyatempan
Atoyatempan,21020,Puebla,2016,0,Atoyatempan,21020 – Atoyatempan
Atoyatempan,21020,Puebla,2017,0,Atoyatempan,21020 – Atoyatempan
Atoyatempan,21020,Puebla,2018,0,Atoyatempan,21020 – Atoyatempan
Atoyatempan,21020,Puebla,2019,0,Atoyatempan,21020 – Atoyatempan
Atoyatempan,21020,Puebla,2020,0,Atoyatempan,21020 – Atoyatempan
Atoyatempan,21020,Puebla,2021,0,Atoyatempan,21020 – Atoyatempan
Atoyatempan,21020,Puebla,2022,0,Atoyatempan,21020 – Atoyatempan
Atoyatempan,21020,Puebla,2023,0,Atoyatempan,21020 – Atoyatempan
Atoyatempan,21020,Puebla,2024,0,Atoyatempan,21020 – Atoyatempan
Atoyatempan,21020,Puebla,2025,0,Atoyatempan,21020 – Atoyatempan
Atzala,21021,Puebla,2015,0,Atzala,21021 – Atzala
Atzala,21021,Puebla,2016,0,Atzala,21021 – Atzala
Atzala,21021,Puebla,2017,0,Atzala,21021 – Atzala
Atzala,21021,Puebla,2018,0,Atzala,21021 – Atzala
Atzala,21021,Puebla,2019,0,Atzala,21021 – Atzala
Atzala,21021,Puebla,2020,0,Atzala,21021 – Atzala
Atzala,21021,Puebla,2021,0,Atzala,21021 – Atzala
Atzala,21021,Puebla,2022,0,Atzala,21021 – Atzala
Atzala,21021,Puebla,2023,0,Atzala,21021 – Atzala
Atzala,21021,Puebla,2024,0,Atzala,21021 – Atzala
Atzala,21021,Puebla,2025,0,Atzala,21021 – Atzala
Atzitzihuacã¡N,21022,Puebla,2015,0,Atzitzihuacã¡N,21022 – Atzitzihuacã¡N
Atzitzihuacã¡N,21022,Puebla,2016,0,Atzitzihuacã¡N,21022 – Atzitzihuacã¡N
Atzitzihuacã¡N,21022,Puebla,2017,0,Atzitzihuacã¡N,21022 – Atzitzihuacã¡N
Atzitzihuacã¡N,21022,Puebla,2018,0,Atzitzihuacã¡N,21022 – Atzitzihuacã¡N
Atzitzihuacã¡N,21022,Puebla,2019,0,Atzitzihuacã¡N,21022 – Atzitzihuacã¡N
Atzitzihuacã¡N,21022,Puebla,2020,0,Atzitzihuacã¡N,21022 – Atzitzihuacã¡N
Atzitzihuacã¡N,21022,Puebla,2021,0,Atzitzihuacã¡N,21022 – Atzitzihuacã¡N
Atzitzihuacã¡N,21022,Puebla,2022,0,Atzitzihuacã¡N,21022 – Atzitzihuacã¡N
Atzitzihuacã¡N,21022,Puebla,2023,0,Atzitzihuacã¡N,21022 – Atzitzihuacã¡N
Atzitzihuacã¡N,21022,Puebla,2024,0,Atzitzihuacã¡N,21022 – Atzitzihuacã¡N
Atzitzihuacã¡N,21022,Puebla,2025,0,Atzitzihuacã¡N,21022 – Atzitzihuacã¡N
Atzitzintla,21023,Puebla,2015,0,Atzitzintla,21023 – Atzitzintla
Atzitzintla,21023,Puebla,2016,0,Atzitzintla,21023 – Atzitzintla
Atzitzintla,21023,Puebla,2017,0,Atzitzintla,21023 – Atzitzintla
Atzitzintla,21023,Puebla,2018,0,Atzitzintla,21023 – Atzitzintla
Atzitzintla,21023,Puebla,2019,0,Atzitzintla,21023 – Atzitzintla
Atzitzintla,21023,Puebla,2020,0,Atzitzintla,21023 – Atzitzintla
Atzitzintla,21023,Puebla,2021,0,Atzitzintla,21023 – Atzitzintla
Atzitzintla,21023,Puebla,2022,0,Atzitzintla,21023 – Atzitzintla
Atzitzintla,21023,Puebla,2023,0,Atzitzintla,21023 – Atzitzintla
Atzitzintla,21023,Puebla,2024,0,Atzitzintla,21023 – Atzitzintla
Atzitzintla,21023,Puebla,2025,0,Atzitzintla,21023 – Atzitzintla
Axutla,21024,Puebla,2015,0,Axutla,21024 – Axutla
Axutla,21024,Puebla,2016,0,Axutla,21024 – Axutla
Axutla,21024,Puebla,2017,0,Axutla,21024 – Axutla
Axutla,21024,Puebla,2018,0,Axutla,21024 – Axutla
Axutla,21024,Puebla,2019,0,Axutla,21024 – Axutla
Axutla,21024,Puebla,2020,0,Axutla,21024 – Axutla
Axutla,21024,Puebla,2021,0,Axutla,21024 – Axutla
Axutla,21024,Puebla,2022,0,Axutla,21024 – Axutla
Axutla,21024,Puebla,2023,0,Axutla,21024 – Axutla
Axutla,21024,Puebla,2024,0,Axutla,21024 – Axutla
Axutla,21024,Puebla,2025,0,Axutla,21024 – Axutla
Ayotoxco De Guerrero,21025,Puebla,2015,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero
Ayotoxco De Guerrero,21025,Puebla,2016,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero
Ayotoxco De Guerrero,21025,Puebla,2017,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero
Ayotoxco De Guerrero,21025,Puebla,2018,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero
Ayotoxco De Guerrero,21025,Puebla,2019,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero
Ayotoxco De Guerrero,21025,Puebla,2020,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero
Ayotoxco De Guerrero,21025,Puebla,2021,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero
Ayotoxco De Guerrero,21025,Puebla,2022,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero
Ayotoxco De Guerrero,21025,Puebla,2023,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero
Ayotoxco De Guerrero,21025,Puebla,2024,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero
Ayotoxco De Guerrero,21025,Puebla,2025,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero
Calpan,21026,Puebla,2015,0,Calpan,21026 – Calpan
Calpan,21026,Puebla,2016,1,Calpan,21026 – Calpan
Calpan,21026,Puebla,2017,0,Calpan,21026 – Calpan
Calpan,21026,Puebla,2018,0,Calpan,21026 – Calpan
Calpan,21026,Puebla,2019,0,Calpan,21026 – Calpan
Calpan,21026,Puebla,2020,0,Calpan,21026 – Calpan
Calpan,21026,Puebla,2021,0,Calpan,21026 – Calpan
Calpan,21026,Puebla,2022,0,Calpan,21026 – Calpan
Calpan,21026,Puebla,2023,0,Calpan,21026 – Calpan
Calpan,21026,Puebla,2024,0,Calpan,21026 – Calpan
Calpan,21026,Puebla,2025,0,Calpan,21026 – Calpan
Caltepec,21027,Puebla,2015,0,Caltepec,21027 – Caltepec
Caltepec,21027,Puebla,2016,0,Caltepec,21027 – Caltepec
Caltepec,21027,Puebla,2017,0,Caltepec,21027 – Caltepec
Caltepec,21027,Puebla,2018,0,Caltepec,21027 – Caltepec
Caltepec,21027,Puebla,2019,0,Caltepec,21027 – Caltepec
Caltepec,21027,Puebla,2020,0,Caltepec,21027 – Caltepec
Caltepec,21027,Puebla,2021,0,Caltepec,21027 – Caltepec
Caltepec,21027,Puebla,2022,0,Caltepec,21027 – Caltepec
Caltepec,21027,Puebla,2023,0,Caltepec,21027 – Caltepec
Caltepec,21027,Puebla,2024,0,Caltepec,21027 – Caltepec
Caltepec,21027,Puebla,2025,0,Caltepec,21027 – Caltepec
Camocuautla,21028,Puebla,2015,0,Camocuautla,21028 – Camocuautla
Camocuautla,21028,Puebla,2016,0,Camocuautla,21028 – Camocuautla
Camocuautla,21028,Puebla,2017,0,Camocuautla,21028 – Camocuautla
Camocuautla,21028,Puebla,2018,0,Camocuautla,21028 – Camocuautla
Camocuautla,21028,Puebla,2019,0,Camocuautla,21028 – Camocuautla
Camocuautla,21028,Puebla,2020,0,Camocuautla,21028 – Camocuautla
Camocuautla,21028,Puebla,2021,0,Camocuautla,21028 – Camocuautla
Camocuautla,21028,Puebla,2022,0,Camocuautla,21028 – Camocuautla
Camocuautla,21028,Puebla,2023,0,Camocuautla,21028 – Camocuautla
Camocuautla,21028,Puebla,2024,0,Camocuautla,21028 – Camocuautla
Camocuautla,21028,Puebla,2025,0,Camocuautla,21028 – Camocuautla
Caxhuacan,21029,Puebla,2015,0,Caxhuacan,21029 – Caxhuacan
Caxhuacan,21029,Puebla,2016,0,Caxhuacan,21029 – Caxhuacan
Caxhuacan,21029,Puebla,2017,0,Caxhuacan,21029 – Caxhuacan
Caxhuacan,21029,Puebla,2018,0,Caxhuacan,21029 – Caxhuacan
Caxhuacan,21029,Puebla,2019,0,Caxhuacan,21029 – Caxhuacan
Caxhuacan,21029,Puebla,2020,0,Caxhuacan,21029 – Caxhuacan
Caxhuacan,21029,Puebla,2021,0,Caxhuacan,21029 – Caxhuacan
Caxhuacan,21029,Puebla,2022,0,Caxhuacan,21029 – Caxhuacan
Caxhuacan,21029,Puebla,2023,0,Caxhuacan,21029 – Caxhuacan
Caxhuacan,21029,Puebla,2024,0,Caxhuacan,21029 – Caxhuacan
Caxhuacan,21029,Puebla,2025,0,Caxhuacan,21029 – Caxhuacan
Coatepec,21030,Puebla,2015,0,Coatepec,21030 – Coatepec
Coatepec,21030,Puebla,2016,0,Coatepec,21030 – Coatepec
Coatepec,21030,Puebla,2017,0,Coatepec,21030 – Coatepec
Coatepec,21030,Puebla,2018,0,Coatepec,21030 – Coatepec
Coatepec,21030,Puebla,2019,0,Coatepec,21030 – Coatepec
Coatepec,21030,Puebla,2020,0,Coatepec,21030 – Coatepec
Coatepec,21030,Puebla,2021,0,Coatepec,21030 – Coatepec
Coatepec,21030,Puebla,2022,0,Coatepec,21030 – Coatepec
Coatepec,21030,Puebla,2023,0,Coatepec,21030 – Coatepec
Coatepec,21030,Puebla,2024,0,Coatepec,21030 – Coatepec
Coatepec,21030,Puebla,2025,0,Coatepec,21030 – Coatepec
Coatzingo,21031,Puebla,2015,0,Coatzingo,21031 – Coatzingo
Coatzingo,21031,Puebla,2016,0,Coatzingo,21031 – Coatzingo
Coatzingo,21031,Puebla,2017,0,Coatzingo,21031 – Coatzingo
Coatzingo,21031,Puebla,2018,0,Coatzingo,21031 – Coatzingo
Coatzingo,21031,Puebla,2019,0,Coatzingo,21031 – Coatzingo
Coatzingo,21031,Puebla,2020,0,Coatzingo,21031 – Coatzingo
Coatzingo,21031,Puebla,2021,0,Coatzingo,21031 – Coatzingo
Coatzingo,21031,Puebla,2022,0,Coatzingo,21031 – Coatzingo
Coatzingo,21031,Puebla,2023,0,Coatzingo,21031 – Coatzingo
Coatzingo,21031,Puebla,2024,0,Coatzingo,21031 – Coatzingo
Coatzingo,21031,Puebla,2025,0,Coatzingo,21031 – Coatzingo
Cohetzala,21032,Puebla,2015,0,Cohetzala,21032 – Cohetzala
Cohetzala,21032,Puebla,2016,0,Cohetzala,21032 – Cohetzala
Cohetzala,21032,Puebla,2017,0,Cohetzala,21032 – Cohetzala
Cohetzala,21032,Puebla,2018,0,Cohetzala,21032 – Cohetzala
Cohetzala,21032,Puebla,2019,0,Cohetzala,21032 – Cohetzala
Cohetzala,21032,Puebla,2020,0,Cohetzala,21032 – Cohetzala
Cohetzala,21032,Puebla,2021,0,Cohetzala,21032 – Cohetzala
Cohetzala,21032,Puebla,2022,0,Cohetzala,21032 – Cohetzala
Cohetzala,21032,Puebla,2023,0,Cohetzala,21032 – Cohetzala
